"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
94386,Audio,"Catharus fuscescens",Veery,,"Wil Hershberger",6/7/1998,1998,6,7,613,"United States",US-MD-021,Maryland,Frederick,"7.0 km S of Wolfsville; Spruce Run Rd.",39.5805,-77.5286,250,"Adult Male – 1",Song,Used,,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Other than an increase in the rate of song delievery the sound is the same as without playback. Response to playback: Approach. Other Behaviors: Advertise. Habitat: Forest, Evergreen Forest.",,,,,"Catharus fuscescens",veery,Species,27215.0,,,5.0,15,committed,"archive; playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94386",,"https://ebird.org/species/veery",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",veery
94411,Audio,"Pooecetes gramineus","Vesper Sparrow",,"Wil Hershberger",6/20/1998,1998,6,20,735,"United States",US-MD-043,Maryland,Washington,"4.0 km NE of Sharpsburg; Antietam National Battlefield",39.4667,-77.75,150,"Adult Male – 1","Dawn Song; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: BNA: Song is heard.  CZ  16/06/2004. Other Behaviors: Advertise. Habitat: Park/Campus/Cemetery, Rural, Field.",,,,,"Pooecetes gramineus",vesspa,Species,31959.0,,,5.0,13,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94411",,"https://ebird.org/species/vesspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",vesspa
94350,Audio,"Gallinago delicata","Wilson's Snipe",,"Wil Hershberger",5/23/1998,1998,5,23,830,"United States",US-NY,"New York",,"Cedar River Flow",43.7175,-74.4725,200,"Adult Male – 1","Flying; Non-vocal; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: [This represents almost exclusively ""Winnowing"", apparently by two birds, but there are also some ""Chip"" Calls given by a bird in the distance.  Quality changed from 1 to 1-2 - 10 December 2004]. Other Behaviors: Advertise. Habitat: Wetland, Freshwater, Lake.",,,,,"Gallinago delicata",wilsni1,Species,5942.0,,,5.0,13,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94350",,"https://ebird.org/species/wilsni1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wilsni1
94280,Audio,"Toxostoma rufum","Brown Thrasher",,"Wil Hershberger",4/21/1998,1998,4,21,1911,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Brown thrashers have been back in this area only 4-6 days. Other Behaviors: Advertise. Habitat: Riparian, Lake.",,,,,"Toxostoma rufum",brnthr,Species,26950.0,,,5.0,13,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94280",,"https://ebird.org/species/brnthr",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",brnthr
94362,Audio,"Setophaga striata","Blackpoll Warbler",,"Wil Hershberger",5/24/1998,1998,5,24,800,"United States",US-NY,"New York",,"Wakely Mountain",43.7333,-74.5156,1124,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Setophaga striata",bkpwar,Species,32841.0,,,5.0,11,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94362",,"https://ebird.org/species/bkpwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bkpwar
94271,Audio,"Baeolophus bicolor","Tufted Titmouse",,"Wil Hershberger",4/12/1998,1998,4,12,1142,"United States",US-WV-037,"West Virginia",Jefferson,"5.0 km W of Shannondale; Shannondale Springs WMA",39.2333,-77.8167,160,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Other Behaviors: Counter Singing, Advertise. Habitat: Forest, Coniferous Forest, Deciduous Forest, Field, Edge.",,,,,"Baeolophus bicolor",tuftit,Species,21225.0,,,5.0,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94271",,"https://ebird.org/species/tuftit",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",tuftit
94261,Audio,"Turdus migratorius","American Robin",,"Wil Hershberger",3/31/1998,1998,3,31,549,"United States",US-MD-021,Maryland,Frederick,"Audrey Carroll Audubon Sanctuary",39.4179,-77.207,180,"Adult Male – 1","Call; Dawn Song; Song","Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Different individual.  Sounds harsh in places.  That is how this individual sounded in life. Other Behaviors: Advertise. Habitat: Forest, Grassland, Deciduous Forest, Pond, Rural, Field, Hedgerow, Edge.",,,,,"Turdus migratorius",amerob,Species,27462.0,,,5.0,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94261",,"https://ebird.org/species/amerob",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",amerob
94451,Audio,"Antrostomus vociferus","Eastern Whip-poor-will",,"Wil Hershberger",7/13/1998,1998,7,13,520,"United States",US-MD-021,Maryland,Frederick,"14.0 km E of Adamstown; Mt. Ephriam Road",39.25,-77.4,160,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: [Sixteen examples of the ""Whip-poor-will"" Call of BNA or, more appropriately, the song of C. v. vociferus.  Quality unchanged (1) - CAM - 24 March 2005]. Other Behaviors: Advertise. Habitat: Forest, Freshwater, Rural, Field, Hedgerow.",,,,,"Antrostomus vociferus",whip-p1,Species,3531.0,,,4.9,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94451",,"https://ebird.org/species/whip-p1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whip-p1
94367,Audio,"Sturnella magna [magna Group]","Eastern Meadowlark (Eastern)",,"Wil Hershberger",5/28/1998,1998,5,28,952,"United States",US-PA-001,Pennsylvania,Adams,"Gettysburg National Battlefield",39.8167,-77.2333,150,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz. Other Behaviors: Advertise. Habitat: Rural, Field.",,,,,"Sturnella magna",easmea2,Group,32303.0,,,4.9,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94367",,"https://ebird.org/species/easmea",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",easmea
94327,Audio,"Pheucticus ludovicianus","Rose-breasted Grosbeak",,"Wil Hershberger",5/16/1998,1998,5,16,804,"United States",US-MD-021,Maryland,Frederick,"14.0 km E of Adamstown; Mt. Ephriam Road",39.25,-77.4,160,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz. Other Behaviors: Advertise. Habitat: Forest, Deciduous Forest.",,,,,"Pheucticus ludovicianus",robgro,Species,33236.0,,,4.9,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94327",,"https://ebird.org/species/robgro",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",robgro
94314,Audio,"Myiarchus crinitus","Great Crested Flycatcher",,"Wil Hershberger",5/13/1998,1998,5,13,1550,"United States",US-WV-003,"West Virginia",Berkeley,"Sleepy Creek WMA",39.4992,-78.157,420,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Neat vocalizations.  Low frequency of delievery. Other Behaviors: Advertise. Habitat: Forest, Freshwater, Coniferous Forest, Deciduous Forest, Lake.",,,,,"Myiarchus crinitus",grcfly,Species,16555.0,,,4.9,10,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94314",,"https://ebird.org/species/grcfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",grcfly
98800,Audio,"Leiothlypis ruficapilla","Nashville Warbler","Toxostoma rufum -- Brown Thrasher; Catharus guttatus -- Hermit Thrush","Geoffrey A. Keller",5/31/1992,1992,5,31,716,"United States",US-MI,Michigan,,"15.0 km SW of Mio; Huron National Forest",,,400,"Adult Male – 1",Song,"Not Used",,,,"UHER 4200","Sennheiser MKH 106T","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"Habitat: Forest, Coniferous Forest, Deciduous Forest.",,,,,"Leiothlypis ruficapilla",naswar,Species,32701.0,,,5.0,9,committed,"archive; no_playback",,,,"https://macaulaylibrary.org/asset/98800",,"https://ebird.org/species/naswar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",naswar
94465,Audio,"Passerina caerulea","Blue Grosbeak",,"Wil Hershberger",7/19/1998,1998,7,19,622,"United States",US-MD-043,Maryland,Washington,"4.0 km NE of Sharpsburg; Antietam National Battlefield",39.4667,-77.75,150,"Adult Male – 1",,Unspecified,,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz. Habitat: Park/Campus/Cemetery, Deciduous Forest, Rural, Field, Hedgerow.",,,,,"Passerina caerulea",blugrb1,Species,33276.0,,,5.0,9,committed,archive,"https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94465",,"https://ebird.org/species/blugrb1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",blugrb1
94438,Audio,"Passerina cyanea","Indigo Bunting",,"Wil Hershberger",7/2/1998,1998,7,2,1919,"United States",US-WV-003,"West Virginia",Berkeley,"15.0 km W of Martinsburg; Joe and Susan Brookerson's",39.5111,-77.9909,200,"Adult Male – 1",Song,"Not Used",,,,"SONY TCD-D10 PRO II","Sennheiser ME 62","Roche Parabola 74cm/17.7cm (29.1in/7in)",,,,,,"NOTES: Filtered at 250 Hz. Other Behaviors: Advertise. Habitat: Rural, Yard, Hedgerow.",,,,,"Passerina cyanea",indbun,Species,33285.0,,,5.0,9,committed,"archive; no_playback","https://ebird.org/profile/MTg3MTI0",,,"https://macaulaylibrary.org/asset/94438",,"https://ebird.org/species/indbun",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",indbun
